Element,Boiling_point,Density(gcm-3),Melting_point
# retrieved from goodfellow
# simple, stable metals
Ba,1640,3.5,725
Be,2470,1.848,1278
Bi,1560,9.80,271.3
B,3700,2.34-2.37,2180
Cs,705,1.90,28.5
Ca,1484,1.55,839
C,5000,2.25,3650
Ce,3426,6.75,799
Cr,2672,7.1,1857
Co,2870,8.9,1495
Cu,2567,8.96,1083
Dy,2562,8.536,1412
Er,2863,9.051,1529
Eu,1597,5.243,822
Gd,3266,7.895,1313
Ga,2205,5.904,29.8
Ge,2830,5.32,937.4
Au,3080,19.30,1064.4
Hf,4602,13.1,2227
Ho,2695,8.803,1474
In,2080,7.3,156.6
Ir,4130,22.4,2410
Fe,2750,7.87,1535
La,3457,6.174,921
Pb,1740,11.35,327.5
Li,1342,0.534,180.5
Lu,3395,9.842,1663
Mn,1962,7.4,1244
Mo,4612,10.22,2617
Nd,3068,7.004,1021
Ni,2732,8.9,1453
Nb,4742,8.57,2468
Os,5027,22.5,3045
Pd,3140,12.0,1554
Pt,3827,21.45,1772
K,760,0.86,63.25
Pr,3512,6.782,931
Re,5627,21.0,3180
Rh,3727,12.4,1965
Rb,686,1.532,38.89
Ru,3900,12.2,2310
Sm,1791,7.536,1077
Sc,2831,2.99,1541
Si,2355,2.34,1410
Ag,2212,10.5,961.9
Na,883,0.97,97.8
Ta,5425,16.6,2996
Tb,3123,8.272,1356
Th,4790,11.72,1750
Tm,1947,9.322,1545
Sn,2270,7.28,231.9
Ti,3287,4.5,1660
W,5660,19.3,3410
U,3818,19.05,1132
V,3380,6.1,1890
Yb,1194,6.977,819
Y,3338,4.478,1522
Zn,907,7.14,419.5
Zr,4377,6.49,1852
# alloys
